"","rowname","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","r","N2"
"636","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,9
"637","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,10
"638","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,10
"639","CEchoices[3]",-0.525967116951946,0.0103674953683167,1.10631898528684,-1,-1,-1,-1,3.56874745611932,11387.0972719464,0.99996776021612,0.1,10
"640","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,10
"641","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,11
"642","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,11
"643","CEchoices[3]",-0.512292725306239,0.0108081087347849,1.14479339465564,-1,-1,-1,-0.870160085627827,3.85210445844041,11219.0173422299,0.999973867732108,0.1,11
"644","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,11
"645","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,12
"646","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,12
"647","CEchoices[3]",-0.489103220549827,0.0111782608252908,1.17471150993345,-1,-1,-1,-1,4.10680422497254,11043.6839708444,0.999983845738839,0.1,12
"648","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.1,12
"649","CEchoices[1]",-2.59830429966129,0,0,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,-2.59830429966129,2.0006001800542,0.999799979995999,0.1,13
"650","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.1,13
"651","CEchoices[3]",-0.477730349016369,0.0114866171679491,1.20623361475459,-1,-1,-1,-1,4.33705633895517,11027.5379293363,1.00000394280419,0.1,13
